# This mapping file is used by process_dr_ropeless_trees.sh to map filename prefixes to human readable vegetation names
# Format:
#     Original filename prefix |
#     Category title (category.txt) |
#     Title (info.txt) |
#     Description (info.txt) |
#     Destination folder name (library path) |
#     Destination category folder name

AESCUbuck|Aesculus (Horse Chestnut / Buckeye)|Tree, Aesculus, Glabra (Buckeye)|Aesculus (Buckeye) tree|aesculus/1|aesculus
AGAVE|Agave|Succulent, Agave|Agave succulent|agave/1|agave
AGAVE_l|Agave|Succulent, Agave, flowering|Flowering Agave succulent|agave/2|agave
ALDERred|Alnus (Alder)|Tree, Alnus (Alder)|Alnus (Alder) tree|alnus/1|alnus
ASPEN1|Populus (Aspen / Poplar)|Tree, Populus (Aspen)|Populus (Aspen) tree|populus/1|populus
ASPENtrembl|Populus (Aspen / Poplar)|Tree, Populus, Tremuloides (Quaking / Trembling Aspen)|Populus Tremuloides (Quaking / Trembling Aspen) tree|populus/2|populus
ASPENtrembl_l|Populus (Aspen / Poplar)|Tree, Populus, Tremuloides (Quaking / Trembling Aspen), long trunk|Populus Tremuloides (Quaking / Trembling Aspen) tree with long trunk|populus/3|populus
BANYAN|Ficus (Fig)|Tree, Ficus, Urostigma (Banyan Fig)|Ficus, Urostigma (Banyan Fig) tree|ficus/1|ficus
BRacer|Acer (Maple)|Tree, Acer (Maple)|Acer (Maple) tree|acer/1|acer
BRbetu1|Betula (Birch)|Tree, Betula, Pendula (Silver Birch)|Betula Pendula (Silver Birch) tree|betula/1|betula
BRbetu2|Betula (Birch)|Tree, Betula, Pendula (Silver Birch)|Betula Pendula (Silver Birch) tree|betula/2|betula
BRbetu3|Betula (Birch)|Tree, Betula, Pendula (Silver Birch)|Betula Pendula (Silver Birch) tree|betula/3|betula
BRcarp|Carpinus (Hornbeam)|Tree, Carpinus (Hornbeam)|Carpinus (Hornbeam) tree|carpinus/1|carpinus
BRfagu1|Fagus (Beech)|Tree, Fagus (Beech)|Fagus (Beech) tree|fagus/1|fagus
BRfagu2|Fagus (Beech)|Tree, Fagus (Beech)|Fagus (Beech) tree|fagus/2|fagus
BRfagu3|Fagus (Beech)|Tree, Fagus (Beech)|Fagus (Beech) tree|fagus/3|fagus
BRfrax|Fraxinus (Ash)|Tree, Fraxinus (Ash)|Fraxinus (Ash) tree|fraxinus/1|fraxinus
BRpopu1|Populus (Aspen / Poplar)|Tree, Populus (Aspen)|Populus (Aspen) tree|populus/4|populus
BRpopu2|Populus (Aspen / Poplar)|Tree, Populus (Aspen)|Populus (Aspen) tree|populus/5|populus
BRquer1|Quercus (Oak)|Tree, Quercus (Oak)|Quercus (Oak) tree|quercus/1|quercus
BRquer2|Quercus (Oak)|Tree, Quercus (Oak)|Quercus (Oak) tree|quercus/2|quercus
BUSHiron|Olneya (Ironwood)|Shrub, Olneya (Ironwood)|Olneya (Ironwood) shrub|olneya/1|olneya
BUSHwillow|Salix (Willow)|Shrub, Salix (Bush Willow)|Salix (Bush Willow) shrub|salix/1|salix
CACTUScholla1|Cylindropuntia (Cholla)|Cactus, Cylindropuntia (Cholla)|Cylindropuntia (Cholla) cactus|cylindropuntia/1|cylindropuntia
CACTUScholla2|Cylindropuntia (Cholla)|Cactus, Cylindropuntia (Cholla)|Cylindropuntia (Cholla) cactus|cylindropuntia/2|cylindropuntia
CACTUSpear|Opuntia (Prickly Pear)|Cactus, Opuntia (Prickly Pear)|Opuntia (Prickly Pear) cactus|opuntia/1|opuntia
CACTUSpear_l|Opuntia (Prickly Pear)|Cactus, Opuntia (Prickly Pear)|Opuntia (Prickly Pear) cactus|opuntia/2|opuntia
CACTUSspec2|Stenocereus (Organ Pipe Cactus)|Cactus, Stenocereus (Organ Pipe)|Stenocereus (Organ Pipe) cactus|stenocereus/1|stenocereus
CARYAhickor|Carya (Hickory)|Tree, Carya (Hickory)|Carya (Hickory) tree|carya/1|carya
CARYAhickor_l|Carya (Hickory)|Tree, Carya (Hickory)|Carya (Hickory) tree|carya/2|carya
CARYApecan|Carya (Hickory)|Tree, Carya (Hickory)|Carya (Hickory) tree|carya/3|carya
CELTISberry|Celtis (Hackberry)|Tree, Celtis (Hackberry)|Celtis (Hackberry) tree|celtis/1|celtis
CO0|Dead|Tree, dead|Dead tree|dead/1|dead
COabie1|Abies (Fir)|Tree, Abies (Fir)|Abies (Fir) tree|abies/1|abies
COabie2|Abies (Fir)|Tree, Abies (Fir)|Abies (Fir) tree|abies/2|abies
COabie3|Abies (Fir)|Tree, Abies (Fir)|Abies (Fir) tree|abies/3|abies
COabie4|Abies (Fir)|Tree, Abies (Fir)|Abies (Fir) tree|abies/4|abies
COabie5|Abies (Fir)|Tree, Abies (Fir)|Abies (Fir) tree|abies/5|abies
COabie6|Abies (Fir)|Tree, Abies (Fir)|Abies (Fir) tree|abies/6|abies
COabie7|Abies (Fir)|Tree, Abies (Fir)|Abies (Fir) tree|abies/7|abies
COabiey|Abies (Fir)|Tree, Abies (Fir)|Abies (Fir) tree|abies/8|abies
COcypr1|Cupressus (Cypress)|Tree, Cupressus (Cypress)|Cupressus (Cypress) tree|cupressus/1|cupressus
COcypr2|Cupressus (Cypress)|Tree, Cupressus (Cypress)|Cupressus (Cypress) tree|cupressus/2|cupressus
COcypr4|Cupressus (Cypress)|Tree, Cupressus (Cypress)|Cupressus (Cypress) tree|cupressus/3|cupressus
COcypr5|Cupressus (Cypress)|Tree, Cupressus (Cypress)|Cupressus (Cypress) tree|cupressus/4|cupressus
COjuni|Juniperus (Juniper)|Tree, Juniperus (Juniper)|Juniperus (Juniper) tree|juniperus/1|juniperus
COlari|Larix (Larch)|Tree, Larix (Larch)|Larix (Larch) tree|larix/1|larix
COpinc2s|Pinus (Pine)|Tree, Pinus (Pine)|Pinus (Pine) tree|pinus/1|pinus
COpinu1|Pinus (Pine)|Tree, Pinus (Pine)|Pinus (Pine) tree|pinus/2|pinus
COpinu2|Pinus (Pine)|Tree, Pinus (Pine)|Pinus (Pine) tree|pinus/3|pinus
